year,week,team,temperature
2014,Week 5,Falcons,61
2014,Week 5,Giants,61
2014,Week 5,Rams,60
2014,Week 5,Eagles,60
2014,Week 5,Bears,63
2014,Week 5,Panthers,63
2014,Week 5,Steelers,73
2014,Week 5,Jaguars,73
2014,Week 5,Cardinals,72
2014,Week 5,Broncos,72
2014,Week 5,Jets,83
2014,Week 5,Chargers,83
2014,Week 5,Chiefs,88
2014,Week 5,49ers,88
2014,Week 5,Bengals,35
2014,Week 5,Patriots,35
2014,Week 5,Seahawks,63
2014,Week 5,Washington,63
2014,Week 6,Colts,77
2014,Week 6,Texans,77
2014,Week 6,Patriots,59
2014,Week 6,Bills,59
2014,Week 6,Panthers,62
2014,Week 6,Bengals,62
2014,Week 6,Steelers,64
2014,Week 6,Browns,64
2014,Week 6,Jaguars,74
2014,Week 6,Titans,74
2014,Week 6,Packers,88
2014,Week 6,Dolphins,88
2014,Week 6,Lions,61
2014,Week 6,Vikings,61
2014,Week 6,Broncos,64
2014,Week 6,Jets,64
2014,Week 6,Ravens,87
2014,Week 6,Buccaneers,87
2014,Week 6,Chargers,86
2014,Week 6,Raiders,86
2014,Week 6,Bears,76
2014,Week 6,Falcons,76
2014,Week 6,Washington,93
2014,Week 6,Cardinals,93
2014,Week 6,Cowboys,66
2014,Week 6,Seahawks,66
2014,Week 6,Giants,57
2014,Week 6,Eagles,57
2014,Week 6,49ers,64
2014,Week 6,Rams,64
2014,Week 7,Jets,63
2014,Week 7,Patriots,63
2014,Week 7,Vikings,45
2014,Week 7,Bills,45
2014,Week 7,Dolphins,55
2014,Week 7,Bears,55
2014,Week 7,Saints,51
2014,Week 7,Lions,51
2014,Week 7,Panthers,53
2014,Week 7,Packers,53
2014,Week 7,Bengals,54
2014,Week 7,Colts,54
2014,Week 7,Seahawks,62
2014,Week 7,Rams,62
2014,Week 7,Titans,57
2014,Week 7,Washington,57
2014,Week 7,Browns,74
2014,Week 7,Jaguars,74
2014,Week 7,Falcons,57
2014,Week 7,Ravens,57
2014,Week 7,Chiefs,71
2014,Week 7,Chargers,71
2014,Week 7,Giants,75
2014,Week 7,Cowboys,75
2014,Week 7,Cardinals,70
2014,Week 7,Raiders,70
2014,Week 7,49ers,63
2014,Week 7,Broncos,63
2014,Week 7,Texans,51
2014,Week 7,Steelers,51
2014,Week 8,Chargers,61
2014,Week 8,Broncos,61
2014,Week 8,Lions,58
2014,Week 8,Falcons,58
2014,Week 8,Ravens,67
2014,Week 8,Bengals,67
2014,Week 8,Texans,79
2014,Week 8,Titans,79
2014,Week 8,Rams,85
2014,Week 8,Chiefs,85
2014,Week 8,Bears,57
2014,Week 8,Patriots,57
2014,Week 8,Bills,61
2014,Week 8,Jets,61
2014,Week 8,Vikings,78
2014,Week 8,Buccaneers,78
2014,Week 8,Seahawks,81
2014,Week 8,Panthers,81
2014,Week 8,Dolphins,81
2014,Week 8,Jaguars,81
2014,Week 8,Eagles,88
2014,Week 8,Cardinals,88
2014,Week 8,Raiders,54
2014,Week 8,Browns,54
2014,Week 8,Colts,56
2014,Week 8,Steelers,56
2014,Week 8,Packers,69
2014,Week 8,Saints,69
2014,Week 8,Washington,76
2014,Week 8,Cowboys,76
2014,Week 9,Saints,53
2014,Week 9,Panthers,53
2014,Week 9,Jaguars,46
2014,Week 9,Bengals,46
2014,Week 9,Buccaneers,0
2014,Week 9,Browns,0
2014,Week 9,Cardinals,64
2014,Week 9,Cowboys,64
2014,Week 9,Jets,64
2014,Week 9,Chiefs,64
2014,Week 9,Chargers,69
2014,Week 9,Dolphins,69
2014,Week 9,Washington,54
2014,Week 9,Vikings,54
2014,Week 9,Eagles,71
